carrier	flight	tailnum	origin	dest	air_time
UA	1545	N14228	EWR	IAH	227
UA	1714	N24211	LGA	IAH	227	我是刺头
NA	NA

AA	1141	N619AA	JFK	MIA	160	是来添堵

B6	725	N804JB	JFK	BQN	183	测试


DL	461	N668DN	LGA	ATL	116
UA	1696	N39463	EWR	ORD	150
B6	507	N516JB	EWR	FLL	158
EV	5708	N829AS	LGA	IAD	53
B6	79	N593JB	JFK	MCO	140
AA	301	N3ALAA	LGA	ORD	138
B6	49	N793JB	JFK	PBI	149
B6	71	N657JB	JFK	TPA	158
UA	194	N29129	JFK	LAX	345
UA	1124	N53441	EWR	SFO	361
AA	707	N3DUAA	LGA	DFW	257
B6	1806	N708JB	JFK	BOS	44
UA	1187	N76515	EWR	LAS	337
B6	371	N595JB	LGA	FLL	152
MQ	4650	N542MQ	LGA	ATL	134
B6	343	N644JB	EWR	PBI	147
DL	1919	N971DL	LGA	MSP	170
MQ	4401	N730MQ	LGA	DTW	105
AA	1895	N633AA	EWR	MIA	152
DL	1743	N3739P	JFK	ATL	128
UA	1077	N53442	EWR	MIA	157
MQ	3768	N9EAMQ	EWR	ORD	139
UA	303	N532UA	JFK	SFO	366
B6	135	N635JB	JFK	RSW	175
B6	709	N794JB	JFK	SJU	182
DL	575	N326NB	EWR	ATL	120
US	245	N807AW	EWR	PHX	342
AA	1837	N3EMAA	LGA	MIA	153
UA	496	N459UA	LGA	IAH	229
EV	4626	N11107	EWR	MSP	190
MQ	4599	N518MQ	LGA	MSP	166
US	27	N535UW	JFK	PHX	330
AA	413	N3BAAA	JFK	SJU	192
UA	1665	N33289	EWR	LAX	366
AA	303	N3CYAA	LGA	ORD	140
WN	4646	N273WN	LGA	BWI	40
US	1019	N426US	EWR	CLT	91
EV	4144	N13553	EWR	IAD	52
AA	711	N3GKAA	LGA	DFW	248
B6	389	N709JB	LGA	MCO	144
B6	1002	N805JB	JFK	BOS	41
UA	556	N497UA	EWR	PBI	146
US	926	N178US	EWR	CLT	91
UA	1701	N75435	EWR	FLL	151
B6	102	N796JB	JFK	BUF	63
UA	883	N569UA	LGA	DEN	243
UA	1496	N38727	EWR	SNA	380
B6	203	N558JB	JFK	LAS	323
B6	117	N178JB	JFK	MSY	191
DL	1383	N327NW	LGA	PBI	149
DL	1415	N3763D	JFK	SLC	294
DL	1865	N705TW	JFK	SFO	362
DL	2003	N997DL	LGA	MIA	161
AA	305	N4WNAA	LGA	ORD	143
AA	1815	N5FMAA	JFK	MCO	142
MQ	4534	N722MQ	LGA	XNA	233
UA	1115	N24212	EWR	TPA	156
DL	1879	N318NB	LGA	FLL	164
DL	1547	N6703D	LGA	ATL	126
VX	399	N627VA	JFK	LAX	361
AA	2279	N3EKAA	LGA	MIA	159
B6	981	N646JB	JFK	FLL	156
DL	831	N998DL	LGA	DTW	105
UA	960	N838UA	EWR	RSW	164
UA	1203	N77296	EWR	SJU	188
B6	671	N779JB	JFK	LAX	381
UA	1092	N26226	LGA	ORD	135
B6	715	N651JB	JFK	SJU	190
AA	825	N3ETAA	JFK	FLL	159
UA	544	N841UA	EWR	ORD	156
FL	850	N978AT	LGA	MKE	134
B6	987	N562JB	JFK	MCO	147
UA	962	N514UA	EWR	PBI	153
AA	715	N541AA	LGA	DFW	254
AS	11	N594AS	EWR	SEA	338
AA	2083	N4WRAA	EWR	DFW	238
UA	1162	N37462	EWR	DEN	254
UA	473	N488UA	LGA	IAH	238
VX	11	N635VA	JFK	SFO	356
B6	20	N304JB	JFK	ROC	64
B6	1601	N563JB	LGA	RSW	167
UA	1111	N37456	EWR	MCO	145
B6	44	N552JB	JFK	SYR	54
B6	643	N625JB	JFK	SFO	350
AA	309	N4WPAA	LGA	ORD	137
UA	1479	N37408	EWR	IAH	249
B6	983	N633JB	LGA	TPA	158
AA	33	N338AA	JFK	LAX	358
B6	341	N624JB	JFK	SRQ	164
DL	495	N3760C	JFK	SEA	349
AA	59	N336AA	JFK	SFO	378
UA	1668	N24224	EWR	SFO	373
MQ	3737	N508MQ	EWR	ORD	148
DL	2263	N325US	LGA	MCO	140
UA	477	N511UA	LGA	DEN	249
US	1733	N543UW	LGA	CLT	96
